NAME;TYPE;RATING-FOOD;RATING-SERVICE;RATING-QUALITY-PRICE;RATING-ATMOSPHERE;WHEELCHAIR ACC.;ACCEPTS RESERVATIONS;PARKING AVAILABLE;TABLES OUTSIDE;TAKE-AWAY;WI-FI;PRICES;TYPEOFFOOD;GLUTEN FREE;VEGETARIAN;SUITABLE FOR CHILDREN;SUITABLE FOR GROUPS;BUSINESS;ROMANTIC;SPECIAL_OCCASION;BREAKFAST;LUNCH;DINNER;PHONE_NUMBER;OPENING HOURS;;;;;;
OrsoGrigio;Trattoria;4;4;4;4;true;true;true;true;true;true;Medium-High;Italian;false;false;true;true;true;true;false;false;true;true;461984400;lunedì 12:00 - 00:00 martedì 12:00 - 00:00 mercoledì 12:00 - 00:00 giovedì 12:00 - 00:00 venerdì 12:00 - 00:00 sabato 12:00 - 00:00;ADDRESS;Italia;38122;Via Degli Orti 19;Trento;MISSING
ForsterbrauTrento;Restaurant;4;4;3.5;4;true;true;false;true;true;true;Medium-High;Italian, Austrian, European;false;false;true;true;false;false;true;true;true;true;461235590;domenica 07:00 - 23:00 lunedì 07:00 - 23:00 martedì 07:00 - 23:00 mercoledì 07:00 - 23:00 giovedì 07:00 - 23:00 venerdì 07:00 - 23:00 sabato 07:00 - 23:00;ADDRESS;Italia;38122;Via Oss Mazzurana 38;Trento;MISSING
AllaGrotta;Restaurant;3.5;3.5;4;3;true;true;false;true;false;false;Medium-High;Italian, Pizza, Mediterranean;false;false;true;true;false;false;false;false;true;true;461987197;MISSING;ADDRESS;Italia;38122;Vicolo San Marco 6;Trento;MISSING
HappyHour;Restaurant;4.5;4;4;4;true;true;false;false;false;true;Medium-High;Italian, Mediterranean;false;false;true;false;true;false;true;false;true;true;461392394;domenica 11:30 - 14:30 martedì 11:00 - 14:3018:30 - 22:30 mercoledì 11:00 - 14:3018:30 - 22:30 giovedì 11:00 - 14:3018:30 - 22:30 venerdì 11:00 - 14:3018:30 - 22:30 sabato 11:00 - 14:3018:30 - 22:30;ADDRESS;Italia;38122;Via Fratelli Perini 57;Trento;MISSING
AlVo’;Restaurant;4;4.5;4;4;false;true;false;true;false;false;Medium-High;Italian;false;false;true;false;true;false;true;false;true;true;461985374;MISSING;ADDRESS;Italia;38122;Vicolo del Vo, 11;Trento;MISSING
GamberoRosso;Restaurant;3.5;3;2.5;3;false;true;false;false;true;false;Medium-High;Italian, Mediterranean;false;false;false;false;false;false;false;false;true;true;461987211;MISSING;ADDRESS;Italia;38122;Via Torre d'Augusto N. 25;Trento;MISSING
DOC;Restaurant;4;4;3.5;3.5;true;true;false;false;false;false;Medium-High;Italian, Drink;false;false;true;true;true;false;true;false;true;true;461262022;domenica 17:00 - 23:45 lunedì 08:00 - 23:45 martedì 08:00 - 23:45 mercoledì 08:00 - 23:45 giovedì 08:00 - 23:45 venerdì 08:00 - 23:45 sabato 17:00 - 23:45;ADDRESS;Italia;38122;Via Milano, 148;Trento;MISSING
Niky’s;Restaurant;4;4;3.5;4;true;true;false;false;false;false;Medium-High;Italian, Pizza, Mediterranean;false;true;true;false;false;false;false;true;true;true;461390828;lunedì 12:00 - 14:3018:30 - 23:00 martedì 12:00 - 14:3018:30 - 23:00 mercoledì 12:00 - 14:3018:30 - 23:00 giovedì 12:00 - 14:3018:30 - 23:00 venerdì 12:00 - 14:3018:30 - 23:00 sabato 12:00 - 14:3018:30 - 23:00;ADDRESS;Italia;38122;Via San Pio X 29;Trento;MISSING
Saporoso;Restaurant;3.5;4;3;3.5;false;true;true;false;true;false;Low;Sushi, Thai;false;false;true;true;false;false;false;false;true;true;461391118;domenica 12:00 - 14:30 18:30 - 22:30 martedì 12:00 - 14:30 18:30 - 22:30 mercoledì 12:00 - 14:30 18:30 - 22:30 giovedì 12:00 - 14:30 18:30 - 22:30 venerdì 12:00 - 14:30 18:30 - 22:30 sabato 12:00 - 14:30 18:30 – 22:30;ADDRESS;Italia;38122;Via Dei Mille 1;Trento;MISSING
Orient;Restaurant;4;4;4;3.5;false;true;false;false;true;true;Medium-Low;Sushi, Chinase;false;false;false;false;false;false;false;false;true;true;461234435;lunedì 12:00 - 14:30 17:30 - 23:00 martedì 12:00 - 14:30 17:30 - 23:00 mercoledì 12:00 - 14:30 17:30 - 23:00 giovedì 12:00 - 14:30 17:30 - 23:00 venerdì 12:00 - 14:30 17:30 - 23:00 sabato 12:00 - 14:30 17:30 - 23:00;ADDRESS;Italia;38122;Via Don Giovanni Battista Zanella 3;Trento;MISSING
AlDuomo;Restaurant;4;4.5;4;4;true;true;true;true;true;false;Medium-High;Italian, Pizza, Mediterranean;false;false;true;false;false;true;false;false;true;true;461262087;lunedì 12:00 - 14:30 19:00 - 23:30 martedì 12:00 - 14:30 19:00 - 23:30 mercoledì 12:00 - 14:30 19:00 - 23:30 giovedì 12:00 - 14:30 19:00 - 23:30 venerdì 12:00 - 14:30 19:00 - 23:30 sabato 12:00 - 14:30 19:00 - 23:30;ADDRESS;Italia;38122;Via Verdi, 77;Trento;MISSING
SaporiMediterranei;Restaurant;4;4;3.5;3;true;true;false;false;true;false;Medium-High;Mediterranean, Pizza, European;false;false;true;true;true;true;true;false;true;true;461984360;domenica 12:00 - 14:3019:00 - 23:30 lunedì 12:00 - 14:3019:00 - 23:30 martedì 12:00 - 14:3019:00 - 23:30 mercoledì 12:00 - 14:3019:00 - 23:30 giovedì 12:00 - 14:3019:00 - 23:30 venerdì 12:00 - 14:3019:00 - 23:30 sabato 12:00 - 14:3019:00 - 23:30;ADDRESS;Italia;38122;Via R. da Sanseverino 39/4 | Vicino al MUSE;Trento;MISSING
VecchiaTrento;Restaurant;4.5;4.5;4.5;4;true;true;false;true;false;false;Medium-High;Italian, Pizza, Indian;false;false;true;true;false;false;true;true;true;true;461235352;domenica 08:00 - 00:00 lunedì 08:00 - 00:00 martedì 08:00 - 00:00 mercoledì 08:00 - 00:00 giovedì 08:00 - 00:00 venerdì 08:00 - 00:00 sabato 08:00 - 00:00;ADDRESS;Italia;38122;Via Santa Croce 88;Trento;MISSING
GreenTower;Restaurant;3.5;3.5;3;4;false;true;true;true;false;false;Medium-High;Italian, Pizza, Mediterranean, European;true;false;true;true;false;false;false;false;true;true;461231545;domenica 12:00 - 02:00 lunedì 12:00 - 02:00 martedì 12:00 - 02:00 mercoledì 12:00 - 02:00 giovedì 12:00 - 02:00 venerdì 12:00 - 02:00 sabato 12:00 - 02:00;ADDRESS;Italia;38122;Via Torre Verde, 29;Trento;MISSING
AiCanopi;Restaurant;4.5;4;4.5;3.5;false;true;false;false;false;true;Medium-High;Italian, Pizza, Indian;false;false;false;false;false;false;false;false;false;true;461823663;domenica 12:00 - 14:30 18:00 - 23:30 lunedì 12:00 - 14:30 18:00 - 23:30 martedì 12:00 - 14:30 18:00 - 23:30 mercoledì 12:00 - 14:30 18:00 - 23:30 giovedì 12:00 - 14:30 18:00 - 23:30 venerdì 12:00 - 14:30 18:00 - 23:30 sabato 12:00 - 14:30 18:00 - 23:30;ADDRESS;Italia;38121;Via ai Bolleri, 12/6;Trento;Martignano 
Terramia;Restaurant;4.5;4;4.5;4;true;true;false;true;true;false;Medium-High;Mediterranean;false;false;true;false;false;false;true;false;true;true;461262666;domenica 12:00 - 15:0018:30 - 22:30 martedì 12:00 - 15:0018:30 - 22:30 mercoledì 12:00 - 15:0018:30 - 22:30 giovedì 12:00 - 15:0018:30 - 22:30 venerdì 12:00 - 15:0018:30 - 22:30 sabato 12:00 - 15:0018:30 - 22:30;ADDRESS;Italia;38122;Via Calepina 39;Trento;MISSING
Trittico;Restaurant;4;3.5;4;3.5;false;true;true;false;false;true;Medium-Low;Italian, Pizza;false;false;true;false;false;false;false;false;true;true;461421104;MISSING;ADDRESS;Italia;38121;Piazza del Tridente 19;Trento;MISSING
Duo;Bar;4.5;4.5;4;4;true;true;false;false;false;false;Medium-High;Italian, Mediterranean, European;true;false;true;false;true;false;false;false;true;true;4611594461;lunedì 18:00 - 00:00 martedì 18:00 - 00:00 mercoledì 18:00 - 00:00 giovedì 18:00 - 00:00 venerdì 18:00 - 00:00 sabato 18:00 - 00:00;ADDRESS;Italia;38122;Via Torre Vanga, 14;Trento;MISSING
RosaD’Oro;Restaurant;4;4;4;4;true;true;false;true;false;false;Medium-High;Italian, European, Pizza, Mediterranean;true;false;true;true;false;false;false;false;true;true;461261792;lunedì 12:00 - 14:30 19:00 - 00:00 martedì 12:00 - 14:30 19:00 - 00:00 mercoledì 12:00 - 14:30 19:00 - 00:00 giovedì 12:00 - 14:30 19:00 - 00:00 venerdì 12:00 - 14:30 19:00 - 00:00 sabato 12:00 - 14:30 19:00 - 00:00;ADDRESS;Italia;38122;Piazza Santa Maria Maggiore 21;Trento;MISSING
VillaMadruzzo;Agritourism;4.5;4.5;4;4.5;true;true;false;false;true;false;High;Italian, Mediterranean, European;false;false;true;true;true;true;true;true;true;true;461986220;MISSING;ADDRESS;Italia;38100;Localita Ponte Alto 26 | Cognola;Trento;MISSING
LeDueSpade;Osteria;4.5;4.5;4;4.5;true;true;false;false;false;true;Medium-High;Italian, Mediterranean, European;false;false;false;false;true;true;true;false;true;true;461234343;lunedì 19:30 - 22:00 martedì 19:30 - 22:0012:00 - 14:00 mercoledì 19:30 - 22:0012:00 - 14:00 giovedì 19:30 - 22:0012:00 - 14:00 venerdì 19:30 - 22:0012:00 - 14:00 sabato 19:30 - 22:0012:00 - 14:00;ADDRESS;Italia;38122;Via Don Arcangelo Rizzi 11;Trento;MISSING
Everest;Restaurant;4;4;4;3.5;true;true;false;false;false;false;Medium-High;Italian, Mediterranean, Pizza, International;false;false;true;false;true;false;false;true;true;true;461825300;MISSING;ADDRESS;Italia;38121;Corso Alpini 14;Trento;MISSING
Clesio;Restaurant;4.5;4.5;4;4;true;true;false;false;false;false;Medium-High;Italian, Mediterranean, European;false;false;false;true;true;false;true;true;true;true;461271000;domenica 12:30 - 14:3019:30 - 22:30 lunedì 12:30 - 14:3019:30 - 22:30 martedì 12:30 - 14:3019:30 - 22:30 mercoledì 12:30 - 14:3019:30 - 22:30 giovedì 12:30 - 14:3019:30 - 22:30 venerdì 12:30 - 14:3019:30 - 22:30 sabato 12:30 - 14:3019:30 - 22:30;ADDRESS;Italia;38122;Via Vittorio Alfieri 1;Trento;MISSING
AnticaTrattoriaDueMori;Trattoria;4;4;4;4;true;false;false;true;false;false;Medium-High;Italian, European;true;false;true;false;true;true;true;false;true;true;461984251;domenica 19:00 - 22:0012:00 - 14:30 martedì 12:00 - 14:3019:00 - 22:30 mercoledì 12:00 - 14:3019:00 - 22:30 giovedì 12:00 - 14:3019:00 - 22:30 venerdì 12:00 - 14:3019:00 - 22:30 sabato 12:00 - 14:3019:00 - 22:30;ADDRESS;Italia;38122;Via San Marco, 11;Trento;MISSING
CasadelCioccolato;Cafe;4.5;4;3.5;3.5;true;false;false;false;false;false;Medium-High;Italian, Drink;false;false;true;false;false;false;false;true;false;false;461234352;MISSING;ADDRESS;Italia;38122;Via Rodolfo Belenzani, 21;Trento;MISSING
Pasi;Bar;3.5;3;3;3;false;false;false;true;false;false;Low;Italian, Drink, Pizza;false;false;false;false;false;false;false;true;true;false;461982301;MISSING;ADDRESS;Italia;38122;Piazza Mario Pasi 2;Trento;MISSING
Tetley’s;Pub;4;3.5;4;4;true;true;false;true;false;true;Medium-High;Italian, Pizza, Drink;false;false;false;false;false;false;false;false;false;true;461233477;MISSING;ADDRESS;Italia;38122;Via Degli Orti 1;Trento;MISSING
Plan;Bar;4;4;3.5;4;false;true;true;false;true;false;Low;Italian, Drink, Steak-house;false;false;false;false;false;false;false;true;true;true;4611740400;MISSING;ADDRESS;Italia;38122;Largo Giosue' Carducci 38;Trento;MISSING
Anfiteatro;Steakhouse;4;3.5;4;3.5;true;true;false;true;false;false;Medium-High;American, Steak, Pizza;false;false;true;false;false;false;false;false;false;true;461233389;lunedì 12:00 - 14:3018:00 - 00:00 martedì 12:00 - 14:3018:00 - 00:00 mercoledì 12:00 - 14:3018:00 - 00:00 giovedì 12:00 - 14:3018:00 - 00:00 venerdì 12:00 - 14:3018:00 - 00:00 sabato 12:00 - 14:3018:00 - 00:00;ADDRESS;Italia;38122;Piazzetta Dell'Anfiteatro 10 | Vicolo San marco;Trento;MISSING
UvaEMenta;Pub;4;4;3.5;3.5;false;true;true;true;false;false;Medium;Italian, Drink, Pizza, Mediterranean;true;true;true;true;false;false;false;true;true;true;4611903162;MISSING;ADDRESS;Italia;38122;Via dietro le Mura A 53;Trento;MISSING
OfficinaGambrinus;Pub;4;4;4;3.5;true;true;true;false;true;true;Medium-High;Italian, Pizza, Pizza;false;false;true;true;false;false;false;true;true;true;461993261;domenica 16:00 - 02:00 martedì 10:00 - 01:00 mercoledì 10:00 - 01:00 giovedì 10:00 - 01:00 venerdì 10:00 - 02:00 sabato 16:00 - 02:00;ADDRESS;Italia;38121;Via Alto Adige 164/B;Trento;MISSING
AnticaBirreriaPedavena;Pub;3.5;3.5;3.5;4;true;false;false;false;true;false;Medium;Italian, European, Steak-house, Mediterranean;true;false;true;true;false;false;false;true;true;true;461986255;domenica 09:00 - 00:30 lunedì 09:00 - 00:30 martedì 09:00 - 00:30 mercoledì 09:00 - 00:30 giovedì 09:00 - 00:30 venerdì 09:00 - 00:30 sabato 09:00 - 00:30;ADDRESS;Italia;38122;Piazza di Fiera 13;Trento;MISSING
OldWildWest;FastFood;3.5;3.5;3;3;true;true;true;true;false;true;Medium-Low;American, Steak-house;false;false;true;true;false;false;false;false;true;true;390461915572;domenica 11:30 - 00:30 lunedì 12:00 - 15:3018:30 - 00:30 martedì 12:00 - 15:3018:30 - 00:30 mercoledì 12:00 - 15:3018:30 - 00:30 giovedì 12:00 - 15:3018:30 - 00:30 venerdì 12:00 - 15:3018:30 - 01:30 sabato 12:00 - 01:30;ADDRESS;Italia;38121;Piazza Delle Ddonne Lavoratrici, 13 | Corso Del Lavoro e Della Scienza;Trento;MISSING
RoadhouseGrill;Steakhouse;3.5;3.5;3;3;true;true;false;false;true;false;Low;Barbecue, Italian;false;false;true;true;false;false;false;false;true;true;461825493;domenica 12:00 - 15:0018:30 - 23:30 lunedì 12:00 - 15:0018:30 - 23:30 martedì 12:00 - 15:0018:30 - 23:30 mercoledì 12:00 - 15:0018:30 - 23:30 giovedì 12:00 - 15:0018:30 - 23:30 venerdì 12:00 - 15:0018:30 - 23:30 sabato 12:00 - 15:0018:30 - 23:30;ADDRESS;Italia;38121;Via del Brennero 146;Trento;MISSING
Fiorentina;Bar;3.5;4;3.5;3.5;true;false;false;true;true;false;Low;Drink, Italian;false;false;true;false;false;false;false;true;true;true;461236147;MISSING;ADDRESS;Italia;38122;Via Calepina 4;Trento;MISSING
McDonald’s;FastFood;3.5;2.5;3.5;2.5;true;false;false;false;false;false;Low;American;false;false;true;false;false;false;false;true;true;true;461390416;domenica 11:00 - 01:00 lunedì 11:00 - 01:00 martedì 11:00 - 01:00 mercoledì 11:00 - 01:00 giovedì 11:00 - 01:00 venerdì 11:00 - 01:00 sabato 11:00 - 03:00;ADDRESS;Italia;38123;Via di Madonna Bianca 5;Trento;MISSING
Subway;FastFood;3.5;3;3.5;2;true;false;false;true;false;false;Medium-High;American;false;false;true;false;false;false;false;false;true;true;3333599472;domenica 09:00 - 23:00 lunedì 09:00 - 23:00 martedì 09:00 - 23:00 mercoledì 09:00 - 23:00 giovedì 09:00 - 23:00 venerdì 09:00 - 23:00 sabato 09:00 - 23:00;ADDRESS;Italia;38122;Via Rodolfo Belenzani 43-45;Trento;MISSING
Piedicastello;Trattoria;4;4;4;4;false;true;false;false;false;false;Medium-High;Italian, Mediterranean;false;false;true;false;false;false;false;false;true;true;461230730;domenica 12:00 - 14:00 lunedì 12:00 - 14:0019:30 - 22:00 martedì 12:00 - 14:0019:30 - 22:00 mercoledì 12:00 - 14:0019:30 - 22:00 giovedì 12:00 - 14:0019:30 - 22:00 venerdì 12:00 - 14:0019:30 - 22:00 sabato 12:00 - 14:0019:30 - 22:00;ADDRESS;Italia;38122;Piazza di Piedicastello 12;Trento;MISSING
Viote;MountainHut;4.5;4;4;4.5;false;true;false;false;true;false;Medium;Italian;false;false;false;false;false;false;false;false;true;true;461948033;MISSING;ADDRESS;Italia;38123;Strada Delle Viote 6 | Monte Bondone;Trento;MISSING
Brigolina;Agritourism;4;4;4;4;true;true;false;false;false;false;Low;Italian;false;false;true;true;false;false;false;false;true;true;461947474;MISSING;ADDRESS;Italia;38123;Strada Di Candriai, 6;Trento;MISSING
Tognola;MountainHut;3.5;3.5;3.5;4;false;true;true;false;true;false;Medium-High;Italian;false;false;true;false;false;false;false;true;true;false;43968329;domenica 08:30 - 17:00 lunedì 08:30 - 17:00 martedì 08:30 - 17:00 mercoledì 08:30 - 17:00 giovedì 08:30 - 17:00 venerdì 08:30 - 17:00 sabato 08:30 - 17:00;ADDRESS;Italia;38054;Via Passo Rolle 21 | Alpe Tognola;Trento;MISSING
Maranza;MountainHut;4;3.5;3.5;4;true;true;false;false;true;false;Low;Italian;false;false;true;true;false;true;true;false;true;false;4611862232;MISSING;ADDRESS;Italia;30123;strada per maranza 23;Trento;MISSING
AllaBaracca;Trattoria;4.5;4;4;3.5;true;true;true;false;true;false;Low;Italian;false;false;true;false;false;false;false;false;true;true;461920049;lunedì 07:00 - 20:00 martedì 07:00 - 00:00 mercoledì 07:00 - 00:00 giovedì 07:00 - 00:00 venerdì 07:00 - 00:00 sabato 07:00 - 00:00;ADDRESS;Italia;38123;Via Galassa 12;Trento;Villazzano 
Planet;Pizzeria;4.5;4.5;4.5;4;false;false;false;false;false;false;Medium-High;Pizza;false;false;true;false;false;false;false;false;true;true;461390836;domenica 17:00 - 22:00 lunedì 11:00 - 14:0017:00 - 22:00 mercoledì 11:00 - 14:0017:00 - 22:00 giovedì 11:00 - 14:0017:00 - 22:00 venerdì 11:00 - 14:0017:00 - 22:00 sabato 17:00 - 22:00;ADDRESS;Italia;38123;Via Padre Eusebio Chini 33;Trento;MISSING
Crucolo;MountainHut;4;4;3.5;4;true;true;false;true;false;false;Medium-Low;Italian, European;false;false;true;true;false;true;true;true;true;true;461766093;domenica 09:00 - 22:00 lunedì 09:00 - 22:00 martedì 09:00 - 16:00 giovedì 09:00 - 22:00 venerdì 09:00 - 22:00 sabato 09:00 - 02:00;ADDRESS;Italia;38050;Loc. Val Campelle | Localita Val Campelle;Trento;MISSING
AlleGorghe;Agritourism;4.5;4.5;4.5;4.5;true;true;false;false;false;false;Medium-High;Italian, Austrian, International;true;false;true;false;false;true;true;false;true;true;461448268;domenica 18:30 - 23:0012:00 - 15:30 lunedì 18:30 - 23:00 giovedì 18:30 - 23:00 venerdì 18:30 - 23:00 sabato 18:30 - 23:0012:00 - 15:30;ADDRESS;Italia;38121;Strada Alle Gorghe 17 | Vigo Meano;Trento;MISSING
IlCappello;Osteria;4.5;4;3.5;4;false;true;false;true;false;false;Medium-Low;Italian, Mediterranean;false;false;true;false;true;true;true;false;true;true;461235850;MISSING;ADDRESS;Italia;38122;Piazzetta Bruno Lunelli 5;Trento;MISSING
DaAlbert;Pizzeria;4.5;3.5;4;3;false;false;false;false;false;false;Medium-High;Pizza;false;false;false;false;false;false;false;false;true;true;461231712;MISSING;ADDRESS;Italia;38122;Via Bernardino Bomporto, 2;Trento;MISSING
Moki;Bistro;4.5;4.5;4;4.5;true;true;false;true;true;true;Medium-Low;Italian, Mediterranean;false;false;false;false;false;false;false;false;true;false;4611822401;lunedì 11:30 - 14:30 martedì 11:30 - 14:30 18:00 - 23:00 mercoledì 11:30 - 14:30 18:00 - 23:00 giovedì 18:00 - 23:00 09:30 - 14:30 venerdì 18:00 - 23:00 11:30 - 14:30 sabato 18:00 - 23:00 09:30 – 14:30;ADDRESS;Italia;38122;Via Malpaga, 20;Trento;MISSING
AmericaGraffiti;FastFood;3.5;3.5;4;4.5;true;true;true;false;false;true;Medium-High;American;false;true;true;true;false;false;false;false;true;true;461826673;Venerdì 12–15, 18:30–01 Sabato 12–01 Domenica 12–01 Lunedì 12–15, 18:30–00 Martedì 12–15, 18:30–00 Mercoledì 12–15, 18:30–00 Giovedì 12–15, 18:30–00;ADDRESS;Italia;38121;Via Ezio Maccani 191/d;Trento;MISSING
